GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),GPS Altitude(ft),Acceleration Sensor(Total)(g),Acceleration Sensor(Z axis)(g),Speed (OBD)(mph),Engine RPM(rpm),Engine Coolant Temperature(°C)
Sat Apr 13 15:07:49 CDT 2019,07:48.3,-88.20159237,41.83149644,0,11,180,0,0.17238252,6.7229185,7.2209125,0.025130823,590.5511856,0.025130823,0.636076689,0,684,-
Sat Apr 13 15:07:50 CDT 2019,07:49.3,-88.20159236,41.83149644,0,12,180,0,-0.019153614,6.8186865,7.201759,0.029975474,590.5511856,0.029975474,0.634124219,0,678,-
Sat Apr 13 15:07:51 CDT 2019,07:50.3,-88.20159237,41.83149644,0,11,180,0,-0.095768064,6.531382,7.374141,0.023199499,590.5511856,0.023199499,0.651696324,0,677,-
Sat Apr 13 15:07:52 CDT 2019,07:51.3,-88.20159238,41.83149644,0,11,180,0,1.3215994,7.469909,6.6846113,0.033074558,590.5511856,0.033074558,0.581407845,0,676,-
Sat Apr 13 15:07:53 CDT 2019,07:52.3,-88.20159237,41.83149643,0,11,180,0,0.32561144,6.6654577,7.297527,0.032339957,590.5511856,0.032339957,0.643886507,0,682,-
Sat Apr 13 15:07:54 CDT 2019,07:53.3,-88.20159238,41.83149642,0,10,180,0,0.63206923,6.6271505,7.393295,0.033152997,590.5511856,0.033152997,0.653648794,0,680,-
Sat Apr 13 15:07:55 CDT 2019,07:54.3,-88.20159238,41.83149642,0,10,180,0,-0.11492168,6.6079965,7.393295,0.029869854,590.5511856,0.029869854,0.653648794,0,682,-
Sat Apr 13 15:07:56 CDT 2019,07:55.3,-88.20159238,41.83149642,0,9,180,0,-0.80445176,6.8186865,7.1826053,0.029020688,590.5511856,0.029020688,0.63217175,0,681,-
Sat Apr 13 15:07:57 CDT 2019,07:56.3,-88.20159235,41.83149641,0,9,180,0,-0.17238252,6.339846,7.431602,0.014918149,590.5511856,0.014918149,0.657553673,0,681,-
Sat Apr 13 15:07:58 CDT 2019,07:57.3,-88.20159233,41.83149641,0,12,180,0,-0.15322891,6.5505357,7.3549876,0.02311021,590.5511856,0.023110211,0.649743855,0,681,-
Sat Apr 13 15:07:59 CDT 2019,07:58.3,-88.20159232,41.83149641,0,12,180,0,-0.24899697,6.5505357,7.5082164,0.035023153,590.5511856,0.035023153,0.66536355,0,684,-
Sat Apr 13 15:08:00 CDT 2019,07:59.3,-88.20159231,41.83149641,0,12,180,0,-0.19153613,6.493075,7.393295,0.023960292,590.5511856,0.023960292,0.653648794,0,684,-
Sat Apr 13 15:08:01 CDT 2019,08:00.3,-88.20159233,41.83149642,0,12,180,0,-0.2681506,6.991069,7.144298,0.038306534,590.5511856,0.038306534,0.628266871,0,684,-
Sat Apr 13 15:08:02 CDT 2019,08:01.3,-88.20159234,41.83149643,0,12,180,0,-0.91937345,6.9527617,7.0102224,0.029817045,590.5511856,0.029817045,0.614599645,0,680,-
Sat Apr 13 15:08:03 CDT 2019,08:02.3,-88.20159235,41.83149644,0,12,180,0,-0.9959879,7.086837,6.8186865,0.026627243,590.5511856,0.026627243,0.595075071,0,685,-
Sat Apr 13 15:08:04 CDT 2019,08:03.3,-88.20159235,41.83149644,0,12,180,0,-0.6512229,6.83784,7.1251445,0.02490399,590.5511856,0.02490399,0.626314402,0,677,-
Sat Apr 13 15:08:05 CDT 2019,08:04.3,-88.20159235,41.83149644,0,12,180,0,-0.80445176,6.8569937,7.1059904,0.02894932,590.5511856,0.02894932,0.624361873,0,677,-
Sat Apr 13 15:08:06 CDT 2019,08:05.3,-88.20159235,41.83149644,0,12,180,0,-0.7086837,6.8761473,7.029376,0.023973525,590.5511856,0.023973525,0.616552055,0,684,-
Sat Apr 13 15:08:07 CDT 2019,08:06.3,-88.20159235,41.83149644,0,12,180,0,-0.21068975,5.9759274,7.8912888,0.028269708,590.5511856,0.028269708,0.704412699,0,679,-
Sat Apr 13 15:08:08 CDT 2019,08:07.3,-88.20159235,41.83149644,0,12,180,0,-0.038307227,6.1100025,7.776367,0.022606164,590.5511856,0.022606164,0.692697942,0,673,-
Sat Apr 13 15:08:08 CDT 2019,08:08.3,-88.20159235,41.83149644,0,12,180,0,1.8579005,6.9527617,7.2209125,0.058226764,590.5511856,0.058226764,0.636076689,0,679,-
Sat Apr 13 15:08:10 CDT 2019,08:09.3,-88.20159237,41.83149643,0,13,180,0,-0.90021986,6.895301,7.0102224,0.025538981,590.5511856,0.035666406,0.634124219,0,682,-
Sat Apr 13 15:08:11 CDT 2019,08:10.3,-88.20159237,41.83149643,0,14,180,0,-0.6895301,6.9719152,7.0485296,0.032052934,590.5511856,0.032052934,0.618504524,0,681,-
Sat Apr 13 15:08:12 CDT 2019,08:11.3,-88.20159237,41.83149643,0,14,180,0,-1.2258313,6.9719152,7.2209125,0.02991853,590.5511856,0.029918529,0.636076689,0,687,-
Sat Apr 13 15:08:13 CDT 2019,08:12.3,-88.20159238,41.83149642,0,13,180,0,-0.6703765,6.588843,7.240066,0.019232213,590.5511856,0.019232213,0.638029158,0,677,-
Sat Apr 13 15:08:14 CDT 2019,08:13.3,-88.20159238,41.83149641,0,13,180,0,0.5554548,6.6079965,7.297527,0.024140418,590.5511856,0.024140418,0.643886507,0,678,-
Sat Apr 13 15:08:15 CDT 2019,08:14.3,-88.20159237,41.83149641,0,13,180,0,0.05746084,6.5696893,7.4507556,0.031606853,590.5511856,0.031606853,0.659506142,0,689,-
Sat Apr 13 15:08:16 CDT 2019,08:15.3,-88.20159236,41.8314964,0,13,180,0,0.9959879,6.8186865,7.1826053,0.030897098,590.5511856,0.030897098,0.63217175,0,681,-
Sat Apr 13 15:08:17 CDT 2019,08:16.3,-88.20159236,41.8314964,0,12,180,0,0.19153613,6.4547677,7.4507556,0.024070323,590.5511856,0.024070323,0.659506142,0,679,-
Sat Apr 13 15:08:18 CDT 2019,08:17.3,-88.20159235,41.83149639,0,12,180,0,2.3558946,7.374141,6.301539,0.03651911,590.5511856,0.03651911,0.542358696,0,681,-
Sat Apr 13 15:08:19 CDT 2019,08:18.3,-88.20159235,41.83149639,0,12,180,0,1.4939818,6.895301,6.991069,0.027399156,590.5511856,0.027399156,0.612647176,0,679,-
Sat Apr 13 15:08:20 CDT 2019,08:19.3,-88.20159232,41.83149639,0,12,180,0,1.2641385,6.5505357,7.3166804,0.02833575,590.5511856,0.02833575,0.645838976,0,683,-
Sat Apr 13 15:08:21 CDT 2019,08:20.3,-88.20159231,41.83149639,0,11,180,0,0.32561144,6.6079965,7.374141,0.028892696,590.5511856,0.028892696,0.651696324,0,675,-
Sat Apr 13 15:08:22 CDT 2019,08:21.3,-88.20159228,41.83149638,0,11,180,0,0.1340753,6.8761473,7.201759,0.034101665,590.5511856,0.034101665,0.634124219,0,677,-
Sat Apr 13 15:08:23 CDT 2019,08:22.3,-88.20159227,41.83149638,0,11,180,0,0.038307227,6.8761473,7.1059904,0.0283842,590.5511856,0.028384199,0.624361873,0,680,-
Sat Apr 13 15:08:24 CDT 2019,08:23.3,-88.20159227,41.83149638,0,11,180,0,0.019153614,6.83784,7.2209125,0.032735646,590.5511856,0.032735646,0.636076689,0,684,-
Sat Apr 13 15:08:25 CDT 2019,08:24.3,-88.20159228,41.83149638,0,11,180,0,0,6.646304,7.3549876,0.029507816,590.5511856,0.020854533,0.638029158,0,677,-
Sat Apr 13 15:08:26 CDT 2019,08:25.3,-88.2015923,41.83149638,0,11,180,0,0.019153614,6.6271505,7.3166804,0.028489875,590.5511856,0.028489875,0.645838976,0,678,-
Sat Apr 13 15:08:27 CDT 2019,08:26.3,-88.20159231,41.83149638,0,11,180,0,0.095768064,6.7612257,7.297527,0.030862663,590.5511856,0.030862663,0.643886507,0,679,-
Sat Apr 13 15:08:28 CDT 2019,08:27.3,-88.20159231,41.83149637,0,11,180,0,0.095768064,6.5505357,7.393295,0.025955498,590.5511856,0.025955498,0.653648794,0,678,-
Sat Apr 13 15:08:29 CDT 2019,08:28.3,-88.20159229,41.83149636,0,11,180,0,0.095768064,6.9719152,7.029376,0.028271616,590.5511856,0.028271616,0.616552055,0,681,-
Sat Apr 13 15:08:30 CDT 2019,08:29.3,-88.20159228,41.83149636,0,10,180,0,-0.19153613,6.6654577,7.240066,0.025150107,590.5511856,0.025150107,0.638029158,0,678,-
Sat Apr 13 15:08:31 CDT 2019,08:30.3,-88.20159226,41.83149636,0,11,180,0,1.0534488,6.531382,7.393295,0.032993138,590.5511856,0.032993138,0.653648794,0,682,-
Sat Apr 13 15:08:32 CDT 2019,08:31.3,-88.20159225,41.83149635,0,11,180,0,1.7812861,7.1826053,6.646304,0.03293115,590.5511856,0.032931149,0.577502966,0,684,-
Sat Apr 13 15:08:33 CDT 2019,08:32.3,-88.20159221,41.83149635,0,11,180,0,1.4939818,7.3549876,6.5696893,0.035758317,590.5511856,0.035758317,0.569693089,0,677,-
Sat Apr 13 15:08:34 CDT 2019,08:33.3,-88.2015922,41.83149634,0,11,180,0,1.2641385,7.067683,6.933608,0.031052968,590.5511856,0.031052968,0.606789768,0,682,-
Sat Apr 13 15:08:35 CDT 2019,08:34.3,-88.2015922,41.83149635,0,11,180,0,1.0342951,6.9527617,6.991069,0.031314738,590.5511856,0.031314738,0.612647176,0,686,-
Sat Apr 13 15:08:36 CDT 2019,08:35.3,-88.2015922,41.83149634,0,11,180,0,1.532289,7.297527,6.6654577,0.03852147,590.5511856,0.038521469,0.579455435,0,680,-
Sat Apr 13 15:08:37 CDT 2019,08:36.3,-88.20159221,41.83149634,0,11,180,0,1.4748282,7.5465236,6.2823853,0.031173885,590.5511856,0.031173885,0.540406227,0,682,-
Sat Apr 13 15:08:38 CDT 2019,08:37.3,-88.20159222,41.83149634,0,12,180,0,3.0454245,7.872135,5.3821654,0.035408184,590.5511856,0.035408184,0.448640704,0,681,-
Sat Apr 13 15:08:39 CDT 2019,08:38.3,-88.20159222,41.83149633,0,12,180,0,2.3750482,7.9104424,5.45878,0.028196037,590.5511856,0.028196037,0.456450522,0,687,-
Sat Apr 13 15:08:40 CDT 2019,08:39.3,-88.20159222,41.83149633,0,12,180,0,0.5554548,6.8761473,7.240066,0.0384112,590.5511856,0.0384112,0.638029158,0,676,-
Sat Apr 13 15:08:41 CDT 2019,08:40.3,-88.20159222,41.83149633,0,13,180,0,0.32561144,6.6846113,7.335834,0.03123039,590.5511856,0.03123039,0.647791445,0,683,-
Sat Apr 13 15:08:42 CDT 2019,08:41.3,-88.20159222,41.83149633,0,13,180,0,0.4405331,6.7612257,7.2783732,0.032254353,590.5511856,0.032254353,0.641934037,0,682,-
Sat Apr 13 15:08:43 CDT 2019,08:42.3,-88.20159222,41.83149633,0,13,180,0,0.36391866,6.4739213,7.489063,0.02879268,590.5511856,0.028792679,0.663411081,0,680,-
Sat Apr 13 15:08:44 CDT 2019,08:43.3,-88.20159222,41.83149632,0,13,180,0,0.24899697,6.4739213,7.469909,0.026954353,590.5511856,0.026954353,0.661458611,0,681,-
Sat Apr 13 15:08:45 CDT 2019,08:44.3,-88.20159222,41.83149632,0,13,180,0,0.2873042,6.493075,7.431602,0.025396883,590.5511856,0.025396883,0.657553673,0,681,-
Sat Apr 13 15:08:46 CDT 2019,08:45.3,-88.20159222,41.83149632,0,13,180,0,0.5554548,6.7803793,7.1634517,0.028734535,590.5511856,0.028734535,0.63021934,0,682,-
Sat Apr 13 15:08:47 CDT 2019,08:46.3,-88.20159221,41.83149632,0,13,180,0,0.5363012,6.9527617,7.1251445,0.03528577,590.5511856,0.035285771,0.626314402,0,679,-
